date,net_return_pct,net_sharpe,days
2015,-2.776126094674636,-1.310473990111624,252
2016,0.9625514873564445,0.4319031288990809,252
2017,1.8367261237848265,1.1339051281970358,251
2018,0.18304103366566515,0.06817970293512238,251
2019,-1.5978156224167983,-0.5502172762150833,252
2020,7.711667118147947,1.1691376078799118,253
2021,3.7611746826654135,0.607528061100228,252
2022,0.1228695744773578,0.053400761768464935,251
2023,3.7623284158460724,0.7338825212233009,250
2024,4.242341177910669,0.618383196514871,251
