window,days,net_return_pct,ann_sharpe,max_dd_pct
2018 Q4 selloff,63,1.5063030393975607,1.153716886720504,-1.293421751774848
2020 Q1 COVID crash,30,-1.4072839055642716,-1.1969967807473534,-3.38916457856393
Full-year 2022 bear,251,0.1228695744773578,0.053400761768464935,-5.297895800464247
