AUM,net_ann_ret,net_ann_vol,net_sharpe,gross_sharpe,max_drawdown,daily_turnover,avg_gross_util,frac_days_full_gross,frac_days_traded,avg_max_pos_pct_adv,comm_bps,slip_bps,borrow_bps
50M,0.013863692521010357,0.060888343178359526,0.22769042147196555,1.8244667488352708,-0.10565021694166998,0.9340864361815967,0.9340864361815967,0.7940357852882703,1.0,0.049969869714868866,0.9340864361815966,2.8022593085447904,0.12219240129586918
250M,0.018914050171248194,0.05002511492931168,0.3780910888055894,1.728217521038023,-0.06930476676740671,0.6533361559682156,0.6533361559682156,0.2290258449304175,1.0,0.04999999980059416,0.6533361559682156,1.960008467904647,0.07155835167418509
1000M,0.011780180577528315,0.020434996002084777,0.5764709019921757,1.6809396475048382,-0.03246665170530538,0.21952098420122562,0.21952098420122568,0.007165605095541401,1.0,0.04999999988406061,0.21952098420122568,0.6585629526036769,0.021860679098707533
