alpha,mean_ic,t_stat,hit_rate,n_days
ridge,0.01636090297806897,5.331434321503393,0.5614314115308151,2515
HGB,0.02402279867885325,8.209742395139354,0.5880715705765408,2515
ensemble,0.022343790753899882,7.195821314809562,0.5805168986083499,2515
