,sharpe,sharpe_lost
gross,1.728217521038023,0.0
after commission,1.4001704151908194,0.32804710584720365
after +slippage,0.41412903623981717,0.9860413789510023
after +borrow (=net),0.3780910888055894,0.03603794743422778
