AUM,net_ann_ret,net_ann_vol,net_sharpe,gross_sharpe,max_drawdown,daily_turnover,avg_gross_util,frac_days_full_gross,frac_days_traded,avg_max_pos_pct_adv,comm_bps,slip_bps,borrow_bps,avg_names_per_side
50M,0.02025255486099311,0.06399186405617506,0.31648640275917683,1.5973434546448197,-0.12028671987987893,0.7892545935336649,0.7892545935336649,0.5067675159235668,0.9988071570576541,0.04996864052611813,0.7892545935336648,2.3677637806009955,0.10123749867090306,10.952627388535031
250M,0.02945863381282676,0.04156749160372225,0.7086940461470815,1.80656019611776,-0.04957269827456434,0.4434805472216794,0.4434805472216794,0.08837579617834394,0.9988071570576541,0.04999999977336876,0.44348054722167957,1.3304416416650384,0.04870294236391099,9.535429936305732
1000M,0.009040340733361348,0.015587629665123984,0.5799689194302808,1.42731381095363,-0.01832231434392373,0.1424053065729343,0.14240530657293426,0.005719313682358117,0.9037773359840954,0.049999999856930454,0.14240530657293432,0.4272159197188028,0.014102193217509058,5.53145622525297
