alpha,quantile_pct,net_sharpe,net_ann_pct,max_dd_pct,positive_years,note
ensemble,2.0,0.3780910888055894,1.8914050171248193,-6.930476676740671,8/10,
ensemble,1.25,0.7086940461470815,2.9458633812826758,-4.957269827456434,8/10,  <- HEADLINE
ensemble,1.0,0.6846390958314884,2.5082455530851258,-4.311321656504541,7/10,
HGB,2.0,0.33170179956417256,1.8899425244005195,-11.956008441112898,7/10,
HGB,1.25,0.6877953456263751,4.246564637921564,-8.986580427608793,8/10,
HGB,1.0,0.8044911592604471,4.967298801866562,-9.30786205641746,8/10,  <- FRONTIER
combined(+flow),2.0,0.10389291867324658,0.505114449074572,-8.316359328529465,6/10,
combined(+flow),1.25,0.2095423275263357,0.9079661283115443,-8.181617735981106,5/10,
combined(+flow),1.0,0.31285713754150035,1.2202303760311763,-7.34063653088911,6/10,
