,sharpe,sharpe_lost
gross,1.80656019611776,0.0
after commission,1.5403071550844887,0.2662530410332713
after +slippage,0.7381381108308074,0.8021690442536813
after +borrow (=net),0.7086940461470815,0.029444064683725846
