year,mean,std,count
2015,0.04107650958498279,0.12266674909934626,252
2016,0.03057960426249793,0.11901466627283634,252
2017,0.038978451293435044,0.10065372698416247,251
2018,0.02709379002857041,0.1603129704033461,251
2019,0.028411494692962953,0.1565364614114171,252
2020,0.023958751865557786,0.19356774207233376,253
2021,0.01651805766956638,0.18099296735696974,252
2022,0.005975388187610819,0.1999137681797132,251
2023,0.0034067828723710596,0.14459095266321795,250
2024,0.007242354239613955,0.14486381449056146,251
