date,net_return_pct,net_sharpe,days
2015,-1.6654207421347045,-1.0923115955974556,252
2016,0.3611410613753474,0.20437195500560162,252
2017,2.570421924992905,2.0992545756625165,251
2018,0.5340782409126943,0.1874201403116144,251
2019,-0.9204442597129603,-0.4082471218744783,252
2020,3.9366922931550974,0.862472433427113,253
2021,6.240785475595234,1.1035050025418929,252
2022,4.152965072532,0.6844393098921655,251
2023,6.786515888867428,1.6374229088485779,250
2024,7.423335423752864,1.1316128606637872,251
